Park,Best_Model,Forecast_Month,Predicted_Visits,Unit Code,Park Type,Region,State,Year,Month,_source_file
African Burial Ground NM,SARIMA,01-09-2025,1020,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-10-2025,2987,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-11-2025,974,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-12-2025,152,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-01-2026,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-02-2026,89,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-03-2026,384,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-04-2026,1412,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-05-2026,2169,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-06-2026,2139,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-07-2026,2119,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-08-2026,1102,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-09-2026,447,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-10-2026,2390,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-11-2026,210,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-12-2026,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-01-2027,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-02-2027,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-03-2027,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-04-2027,946,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-05-2027,1726,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-06-2027,1686,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-07-2027,1717,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-08-2027,683,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-09-2027,15,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-10-2027,1955,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-11-2027,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-12-2027,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-01-2028,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-02-2028,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-03-2028,0,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
African Burial Ground NM,SARIMA,01-04-2028,535,AFBG,National Monument,Northeast,NY,2010,1,African_Burial_Ground_NM_recreation_visits.xlsx
