																					
Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	7	141,037																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	8	96,398																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	9	28,989																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	10	49,806																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	11	38,328																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	12	45,457																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	1	44,221																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	2	59,092																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	3	69,701																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	4	90,298																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	5	89,211																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	6	72,549																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	7	33,111																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	8	18,683																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	9	10,358																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	10	12,116																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	11	9,355																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2002	12	36,641																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	1	23,820																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	2	23,191																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	3	22,074																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	4	83,760																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	5	82,982																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	6	24,437																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	7	5,491																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	8	12,104																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	9	7,643																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	10	46,456																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	11	50,475																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2003	12	47,330																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	1	29,988																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2004	2	43,641																		
